Row,Entity,Position X,Position Y,id,length(M),width(M),"type(B=3,D=1,T=2)",parking_type,parking_side
A-004-01,Bridge,342086.7587,3313410.472,9,0.82,0.6,3,,
A-004-01,Tracker,342084.7997,3313380.054,10,30,3.92,2,,
A-004-01,Bridge,342086.7587,3313379.714,11,0.64,0.6,3,,
A-004-01,Tracker,342084.7997,3313349.296,12,30,3.92,2,,
A-004-01,Bridge,342086.7587,3313348.956,13,0.82,0.6,3,,
A-004-01,Tracker,342084.7997,3313318.538,14,30,3.92,2,,
A-004-01,Bridge,342086.7587,3313318.198,15,0.64,0.6,3,,
A-004-01,Tracker,342084.7997,3313287.78,16,30,3.92,2,,
A-005-01,Tracker,342095.5997,3313573.094,0,30,3.92,2,,
A-005-01,Bridge,342097.5587,3313572.754,1,0.82,0.6,3,,
A-005-01,Tracker,342095.5997,3313542.336,2,30,3.92,2,,
A-005-01,Bridge,342097.5587,3313541.996,3,0.64,0.6,3,,
A-005-01,Tracker,342095.5997,3313511.578,4,30,3.92,2,,
A-005-01,Bridge,342097.5587,3313511.238,5,0.64,0.6,3,,
A-005-01,Tracker,342095.5997,3313465.805,6,45,3.92,2,,
A-005-01,Dock,342095.5464,3313465.38,7,1.05,0.9,0,Central,South
A-005-01,Tracker,342095.5997,3313419.847,8,45,3.92,2,,
A-005-01,Bridge,342097.5587,3313419.507,9,0.64,0.6,3,,
A-005-01,Tracker,342095.5997,3313374.089,10,45,3.92,2,,
A-005-01,Bridge,342097.5587,3313373.749,11,0.64,0.6,3,,
A-005-01,Tracker,342095.5997,3313343.346,12,30,3.92,2,,
A-005-01,Bridge,342097.5587,3313343.006,13,0.64,0.6,3,,
A-005-01,Tracker,342095.5997,3313312.588,14,30,3.92,2,,
A-005-01,Bridge,342097.5587,3313312.248,15,0.64,0.6,3,,
A-005-01,Tracker,342095.5997,3313281.83,16,30,3.92,2,,
A-006-01,Tracker,342106.3997,3313582.344,0,30,3.92,2,,
A-006-01,Bridge,342108.3587,3313582.004,1,0.64,0.6,3,,
A-006-01,Tracker,342106.3997,3313551.586,2,30,3.92,2,,
A-006-01,Bridge,342108.3587,3313551.246,3,0.64,0.6,3,,
A-006-01,Tracker,342106.3997,3313505.813,4,45,3.92,2,,
A-006-01,Dock,342106.3464,3313505.388,5,1.05,0.9,0,Central,South
A-006-01,Tracker,342106.3997,3313459.855,6,45,3.92,2,,
,Gap,342108.3587,3313459.515,0,0.64,-1,0,,
A-006-02,Tracker,342106.3997,3313414.097,0,45,3.92,2,,
A-006-02,Bridge,342108.3587,3313413.757,1,0.64,0.6,3,,
A-006-02,Tracker,342106.3997,3313368.339,2,45,3.92,2,,
A-006-02,Dock,342106.3464,3313367.899,3,1.05,0.9,0,Central,South
A-006-02,Tracker,342106.3997,3313337.396,4,30,3.92,2,,
A-006-02,Bridge,342108.3587,3313337.056,5,0.82,0.6,3,,
A-006-02,Tracker,342106.3997,3313306.638,6,30,3.92,2,,
A-006-02,Bridge,342108.3587,3313306.298,7,0.82,0.6,3,,
A-006-02,Tracker,342106.3997,3313275.88,8,30,3.92,2,,
A-007-01,Tracker,342117.1997,3313545.421,0,45,3.92,2,,
A-007-01,Bridge,342119.1587,3313545.081,1,0.64,0.6,3,,
A-007-01,Tracker,342117.1997,3313499.663,2,45,3.92,2,,
A-007-01,Bridge,342119.1587,3313499.323,3,0.64,0.6,3,,
A-007-01,Tracker,342117.1997,3313453.905,4,45,3.92,2,,
A-007-01,Bridge,342119.1587,3313453.565,5,0.64,0.6,3,,
A-007-01,Tracker,342117.1997,3313408.147,6,45,3.92,2,,
A-007-01,Dock,342117.1464,3313407.722,7,1.05,0.9,0,Central,South
A-007-01,Tracker,342117.1997,3313362.189,8,45,3.92,2,,
A-007-01,Bridge,342119.1587,3313361.849,9,0.64,0.6,3,,
A-007-01,Tracker,342117.1997,3313331.446,10,30,3.92,2,,
A-007-01,Bridge,342119.1587,3313331.106,11,0.82,0.6,3,,
A-007-01,Tracker,342117.1997,3313300.688,12,30,3.92,2,,
A-007-01,Bridge,342119.1587,3313300.348,13,0.82,0.6,3,,
A-007-01,Tracker,342117.1997,3313269.93,14,30,3.92,2,,
A-008-01,Tracker,342127.9997,3313539.471,0,45,3.92,2,,
A-008-01,Bridge,342129.9587,3313539.131,1,0.64,0.6,3,,
A-008-01,Tracker,342127.9997,3313493.713,2,45,3.92,2,,
A-008-01,Bridge,342129.9587,3313493.373,3,0.64,0.6,3,,
A-008-01,Tracker,342127.9997,3313447.955,4,45,3.92,2,,
A-008-01,Bridge,342129.9587,3313447.615,5,0.64,0.6,3,,
A-008-01,Tracker,342127.9997,3313402.197,6,45,3.92,2,,
A-008-01,Dock,342127.9464,3313401.772,7,1.05,0.9,0,Central,South
A-008-01,Tracker,342127.9997,3313356.239,8,45,3.92,2,,
A-008-01,Bridge,342129.9587,3313355.899,9,0.64,0.6,3,,
A-008-01,Tracker,342127.9997,3313325.496,10,30,3.92,2,,
A-008-01,Bridge,342129.9587,3313325.156,11,0.64,0.6,3,,
A-008-01,Tracker,342127.9997,3313294.738,12,30,3.92,2,,
A-008-01,Bridge,342129.9587,3313294.398,13,0.64,0.6,3,,
A-008-01,Tracker,342127.9997,3313263.98,14,30,3.92,2,,
A-009-01,Tracker,342138.7997,3313533.521,0,45,3.92,2,,
A-009-01,Bridge,342140.7587,3313533.181,1,0.64,0.6,3,,
A-009-01,Tracker,342138.7997,3313487.763,2,45,3.92,2,,
A-009-01,Bridge,342140.7587,3313487.423,3,0.64,0.6,3,,
A-009-01,Tracker,342138.7997,3313442.005,4,45,3.92,2,,
A-009-01,Bridge,342140.7587,3313441.665,5,0.64,0.6,3,,
A-009-01,Tracker,342138.7997,3313396.247,6,45,3.92,2,,
A-009-01,Dock,342138.7464,3313395.822,7,0.75,0.9,0,Central,South
A-009-01,Tracker,342138.7997,3313350.289,8,45,3.92,2,,
A-009-01,Bridge,342140.7587,3313349.949,9,0.64,0.6,3,,
A-009-01,Tracker,342138.7997,3313319.546,10,30,3.92,2,,
A-009-01,Bridge,342140.7587,3313319.206,11,0.82,0.6,3,,
A-009-01,Tracker,342138.7997,3313288.788,12,30,3.92,2,,
A-009-01,Bridge,342140.7587,3313288.448,13,0.64,0.6,3,,
A-009-01,Tracker,342138.7997,3313258.03,14,30,3.92,2,,
A-010-01,Tracker,342149.5997,3313527.571,0,45,3.92,2,,
A-010-01,Bridge,342151.5587,3313527.231,1,0.64,0.6,3,,
A-010-01,Tracker,342149.5997,3313481.813,2,45,3.92,2,,
A-010-01,Bridge,342151.5587,3313481.473,3,0.64,0.6,3,,
A-010-01,Tracker,342149.5997,3313436.055,4,45,3.92,2,,
A-010-01,Bridge,342151.5587,3313435.715,5,0.64,0.6,3,,
A-010-01,Tracker,342149.5997,3313390.297,6,45,3.92,2,,
A-010-01,Dock,342149.5464,3313389.872,7,1.05,0.9,0,Central,South
A-010-01,Tracker,342149.5997,3313344.339,8,45,3.92,2,,
A-010-01,Bridge,342151.5587,3313343.999,9,0.64,0.6,3,,
A-010-01,Tracker,342149.5997,3313313.596,10,30,3.92,2,,
A-010-01,Bridge,342151.5587,3313313.256,11,0.64,0.6,3,,
A-010-01,Tracker,342149.5997,3313282.838,12,30,3.92,2,,
A-010-01,Bridge,342151.5587,3313282.498,13,0.82,0.6,3,,
A-010-01,Tracker,342149.5997,3313252.08,14,30,3.92,2,,
A-011-01,Tracker,342160.3997,3313521.621,0,45,3.92,2,,
