Block,Array,Row,Entity,Entity Name,Position X,Position Y,Area,Gap,Soltec Name,Full,docking,tracker length,bridge type
A,A-005,A-005-01,Bridge,A-005-01-B02/04,342097.5587,3313541.996,,40-64,,ANG2-A-005-01-B02/04,,,
A,A-005,A-005-01,Tracker,A-005-01-T03/05,342095.5997,3313511.578,120,,TR 19.A.02.5,ANG2-A-005-01-T03/05,,,
A,A-005,A-005-01,Bridge,A-005-01-B03/06,342097.5587,3313511.238,,40-64,,ANG2-A-005-01-B03/06,,,
A,A-005,A-005-01,Tracker,A-005-01-T04/07,342095.5997,3313465.805,180,,TR 19.A.02.3,ANG2-A-005-01-T04/07,,,
A,A-005,A-005-01,Dock,A-005-01-D01/08,342095.5464,3313465.38,,76-105,,ANG2-A-005-01-D01/08,,,
A,A-005,A-005-01,Tracker,A-005-01-T05/09,342095.5997,3313419.847,180,,TR 19.A.01.1,ANG2-A-005-01-T05/09,,,
A,A-005,A-005-01,Bridge,A-005-01-B04/10,342097.5587,3313419.507,,40-64,,ANG2-A-005-01-B04/10,,,
A,A-005,A-005-01,Tracker,A-005-01-T06/11,342095.5997,3313374.089,180,,TR 19.A.12.1,ANG2-A-005-01-T06/11,,,
A,A-005,A-005-01,Bridge,A-005-01-B05/12,342097.5587,3313373.749,,40-64,,ANG2-A-005-01-B05/12,,,
A,A-005,A-005-01,Tracker,A-005-01-T07/13,342095.5997,3313343.346,120,,TR 17.A.03.2,ANG2-A-005-01-T07/13,,,
A,A-005,A-005-01,Bridge,A-005-01-B06/14,342097.5587,3313343.006,,40-64,,ANG2-A-005-01-B06/14,,,
A,A-005,A-005-01,Tracker,A-005-01-T08/15,342095.5997,3313312.588,120,,TR 17.A.03.5,ANG2-A-005-01-T08/15,,,
A,A-005,A-005-01,Bridge,A-005-01-B07/16,342097.5587,3313312.248,,40-64,,ANG2-A-005-01-B07/16,,,
A,A-005,A-005-01,Tracker,A-005-01-T09/17,342095.5997,3313281.83,120,,TR 17.A.03.7,ANG2-A-005-01-T09/17,,,
A,A-006,A-006-01,Tracker,A-006-01-T01/01,342106.3997,3313582.344,120,,TR 19.A.03.7,ANG2-A-006-01-T01/01,,,
A,A-006,A-006-01,Bridge,A-006-01-B01/02,342108.3587,3313582.004,,40-64,,ANG2-A-006-01-B01/02,,,
A,A-006,A-006-01,Tracker,A-006-01-T02/03,342106.3997,3313551.586,120,,TR 19.A.03.5,ANG2-A-006-01-T02/03,,,
A,A-006,A-006-01,Bridge,A-006-01-B02/04,342108.3587,3313551.246,,40-64,,ANG2-A-006-01-B02/04,,,
A,A-006,A-006-01,Tracker,A-006-01-T03/05,342106.3997,3313505.813,180,,TR 19.A.02.4,ANG2-A-006-01-T03/05,,,
A,A-006,A-006-01,Dock,A-006-01-D01/06,342106.3464,3313505.388,,76-105,,ANG2-A-006-01-D01/06,,,
A,A-006,A-006-01,Tracker,A-006-01-T04/07,342106.3997,3313459.855,180,,TR 19.A.02.2,ANG2-A-006-01-T04/07,,,
A,A-006,,Gap,-G01/01,342108.3587,3313459.515,,40-64,,ANG2--G01/01,,,
A,A-006,A-006-02,Tracker,A-006-02-T05/01,342106.3997,3313414.097,180,,TR 19.A.01.2,ANG2-A-006-02-T05/01,,,
A,A-006,A-006-02,Bridge,A-006-02-B04/02,342108.3587,3313413.757,,40-64,,ANG2-A-006-02-B04/02,,,
A,A-006,A-006-02,Tracker,A-006-02-T06/03,342106.3997,3313368.339,180,,TR 19.A.12.2,ANG2-A-006-02-T06/03,,,
A,A-006,A-006-02,Dock,A-006-02-D01/04,342106.3464,3313367.899,,76-105,,ANG2-A-006-02-D01/04,,,
A,A-006,A-006-02,Tracker,A-006-02-T07/05,342106.3997,3313337.396,120,,TR 17.A.03.3,ANG2-A-006-02-T07/05,,,
A,A-006,A-006-02,Bridge,A-006-02-B05/06,342108.3587,3313337.056,,65-82,,ANG2-A-006-02-B05/06,,,
A,A-006,A-006-02,Tracker,A-006-02-T08/07,342106.3997,3313306.638,120,,TR 17.A.03.6,ANG2-A-006-02-T08/07,,,
A,A-006,A-006-02,Bridge,A-006-02-B06/08,342108.3587,3313306.298,,65-82,,ANG2-A-006-02-B06/08,,,
A,A-006,A-006-02,Tracker,A-006-02-T09/09,342106.3997,3313275.88,120,,TR 17.A.03.8,ANG2-A-006-02-T09/09,,,
A,A-007,A-007-01,Tracker,A-007-01-T01/01,342117.1997,3313545.421,180,,TR 19.A.03.4,ANG2-A-007-01-T01/01,,,
A,A-007,A-007-01,Bridge,A-007-01-B01/02,342119.1587,3313545.081,,40-64,,ANG2-A-007-01-B01/02,,,
A,A-007,A-007-01,Tracker,A-007-01-T02/03,342117.1997,3313499.663,180,,TR 19.A.03.3,ANG2-A-007-01-T02/03,,,
A,A-007,A-007-01,Bridge,A-007-01-B02/04,342119.1587,3313499.323,,40-64,,ANG2-A-007-01-B02/04,,,
A,A-007,A-007-01,Tracker,A-007-01-T03/05,342117.1997,3313453.905,180,,TR 19.A.02.1,ANG2-A-007-01-T03/05,,,
A,A-007,A-007-01,Bridge,A-007-01-B03/06,342119.1587,3313453.565,,40-64,,ANG2-A-007-01-B03/06,,,
A,A-007,A-007-01,Tracker,A-007-01-T04/07,342117.1997,3313408.147,180,,TR 19.A.13.1,ANG2-A-007-01-T04/07,,,
A,A-007,A-007-01,Dock,A-007-01-D01/08,342117.1464,3313407.722,,76-105,,ANG2-A-007-01-D01/08,,,
A,A-007,A-007-01,Tracker,A-007-01-T05/09,342117.1997,3313362.189,180,,TR 19.A.13.4,ANG2-A-007-01-T05/09,,,
A,A-007,A-007-01,Bridge,A-007-01-B04/10,342119.1587,3313361.849,,40-64,,ANG2-A-007-01-B04/10,,,
A,A-007,A-007-01,Tracker,A-007-01-T06/11,342117.1997,3313331.446,120,,TR 17.A.04.1,ANG2-A-007-01-T06/11,,,
A,A-007,A-007-01,Bridge,A-007-01-B05/12,342119.1587,3313331.106,,65-82,,ANG2-A-007-01-B05/12,,,
A,A-007,A-007-01,Tracker,A-007-01-T07/13,342117.1997,3313300.688,120,,TR 17.A.04.4,ANG2-A-007-01-T07/13,,,
